# u v
0.000000 0.014100
0.000000 0.028200
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.014100
0.000000 0.000000
0.000000 0.028200
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.028200
0.000000 0.014100
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.028200
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.028200
0.000000 0.014100
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.014100
0.000000 0.000000
0.000000 0.014100
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.014100
0.000000 0.000000
0.000000 0.028200
0.000000 0.028200
0.000000 0.028200
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.014100
0.000000 0.000000
0.000000 0.028200
0.000000 0.028200
0.000000 0.028200
0.000000 0.000000
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.000000
0.000000 0.028200
0.000000 0.028200
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.042300
0.000000 0.042300
0.000000 0.056300
0.000000 0.042300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.056300
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.070400
0.000000 0.070400
0.000000 0.070400
0.000000 0.084500
0.000000 0.070400
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.084500
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.098600
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.098600
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.112700
0.000000 0.098600
0.000000 0.112700
